mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Depression,Save Me,Save Me,PTM,6877fx1qZoXSCW4l8f8QRa,2018-03-28,0,236000,0.581,0.0302,0.491,0.0,0.136,0.181,-8.523,0.229,150.061,0,4
Depression,Messages,Messages,Miles Casper,42JWcg5XGT3lwRq8kmk3BN,2020-08-28,22,186627,0.661,0.208,0.717,0.0,0.101,0.678,-3.957,0.0313,80.003,0,4
Depression,16 Lines,"Come Over When You're Sober, Pt. 2",Lil Peep,6akBF8JWM8lrpqejdwIfYI,2018-11-09,69,244906,0.607,0.0663,0.45,1.12e-05,0.107,0.121,-8.507,0.0338,105.992,0,4
Depression,Lovemark,Loners Diary,Ouse,5AB8TKffBAzI5uhFiTXSfg,2018-12-19,0,219482,0.808,0.132,0.331,0.0,0.225,0.329,-13.457,0.0557,140.03,5,4
Depression,Escape,Escape,Seon,10mwSL7dqcrekSoo8D4XtM,2020-09-28,0,210989,0.664,0.513,0.466,0.0,0.0628,0.43,-6.788,0.27,181.944,2,4
Depression,Endless Nightmare,Chaos,Josh A,2CHuu85IjdomB4wPkDwoZp,2018-02-18,59,151308,0.728,0.00716,0.573,0.0,0.164,0.315,-8.388,0.0347,139.947,6,4
Depression,Say Something,Say Something,Go-Jo,0qLlDD8hY2J66cNhIe4B8Z,2020-09-25,33,161641,0.688,0.0498,0.537,0.0,0.123,0.472,-9.888,0.0327,133.994,6,4
Depression,Heartbreak,Heartbreak & Bad Habits,SadBoyProlific,32ba0Jf4FfjK5mZOy0Mctq,2018-11-23,3,205740,0.862,0.502,0.357,4.78e-05,0.0955,0.519,-20.128,0.306,140.026,5,4
Depression,push everyone away,push everyone away,jherz,27twJKEJv4z4qpzAbwY56m,2019-12-05,0,110341,0.541,0.594,0.498,0.000417,0.0957,0.17,-11.138,0.029,148.012,8,4
Depression,You've Changed,You've Changed,Ollie,2YMtKGTaTuuB0ThQ9QFyrc,2017-01-02,46,234076,0.515,0.401,0.655,0.00126,0.13,0.364,-9.021,0.389,119.948,9,4
Depression,Save Me,Save Me,Josh A,72NaN3RE7AmrADLlqK194m,2019-09-14,36,181168,0.687,0.142,0.525,4.31e-05,0.117,0.389,-8.468,0.0738,77.02,5,4
Depression,Sunflower Feelings,Sunflower Feelings,Kuzu Mellow,5bCM68q8X5OS9sajTWaifU,2017-12-14,0,88685,0.816,0.806,0.441,6.67e-06,0.125,0.592,-15.068,0.0826,130.042,0,4
Depression,Not Enough,Not Enough,SadBoyProlific,7CcPttAk27UP2iR21ofxi4,2019-01-27,2,108120,0.834,0.917,0.368,0.0,0.099,0.454,-9.177,0.132,90.983,11,4
Depression,What It Feels to Feel Blue,What It Feels to Feel Blue,Oddsaul,1djwxXWh8zjd6HCof0u1X2,2017-09-13,0,151000,0.528,0.892,0.404,0.0,0.0747,0.145,-8.412,0.299,110.143,1,4
Depression,Mansion,Mansion,NF,3nKRYKbGxhzv4BbwlLOcWU,2015-03-31,65,323266,0.446,0.567,0.84,0.0,0.0967,0.433,-4.539,0.313,150.686,10,4
Depression,Bad Habits,Heartbreak & Bad Habits,SadBoyProlific,4G9kNnIG1z65Y6EIrJ6WXG,2018-11-23,2,184137,0.455,0.243,0.559,0.000134,0.115,0.207,-11.35,0.41,167.82,1,4
