mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Energetic,POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,6EDO9iiTtwNv6waLwa1UUq,2020-07-17,76,200221,0.8,0.057,0.56,0.0,0.134,0.45,-4.818,0.261,163.071,5,4
Energetic,Legend,If You're Reading This It's Too Late,Drake,1ID1QFSNNxi0hiZCNcwjUC,2015-02-12,68,241853,0.714,0.0266,0.563,0.0,0.0776,0.31,-7.574,0.0723,100.091,1,4
Energetic,Thrift Shop (feat. Wanz),The Heist (Deluxe Edition),Macklemore & Ryan Lewis,3AYcyxEACnmE6d96RPubID,2012-10-09,1,235613,0.781,0.0619,0.526,0.0,0.0457,0.662,-6.985,0.293,94.992,6,4
Energetic,Life Goes On,Harder Than Ever,Lil Baby,2bSk87AVkCIIC3Bcligq1z,2018-05-18,76,247054,0.716,0.0021,0.541,0.0,0.115,0.387,-7.909,0.149,139.978,1,4
Energetic,Through the Storm,Through the Storm,YoungBoy Never Broke Again,2u6XJ2PPaCyyRJqC0x6TMH,2018-06-08,0,163566,0.881,0.631,0.581,0.0,0.0986,0.876,-5.162,0.0901,78.508,5,4
Energetic,Don't Like.1,Kanye West Presents Good Music Cruel Summer,Various Artists,12D0n7hKpPcjuUpcbAKjjr,2012-01-01,7,283653,0.668,0.00822,0.628,0.0,0.145,0.621,-5.327,0.205,131.88,6,4
Energetic,6 Man,If You're Reading This It's Too Late,Drake,4kdfjhj9xNkYU0R8xlDy8k,2015-02-12,60,167653,0.568,0.217,0.535,0.0,0.114,0.326,-9.306,0.513,83.589,4,4
Energetic,INTRO,KIRK,DaBaby,77KMttn3Lic7ZQKDlPqp8v,2019-09-27,60,172800,0.862,0.0342,0.685,0.0,0.204,0.672,-7.699,0.242,100.024,0,4
Energetic,Used to This (feat. Drake),EPIC LIT,Various Artists,4etcWRIqU3xEhXz4UBPtXd,2017-02-24,19,180520,0.618,0.0312,0.727,0.0,0.196,0.401,-7.224,0.208,164.992,3,4
Energetic,679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ,2015-06-29,75,196693,0.618,0.00256,0.717,0.0,0.625,0.603,-5.738,0.318,190.05,7,4
Energetic,Hate Bein' Sober,Finally Rich (Deluxe),Chief Keef,3SuzCeGoNOWmbWOoDMou0B,2012-01-01,28,280173,0.82,0.00435,0.47,0.0,0.141,0.313,-7.181,0.0458,132.003,8,4
Energetic,Started From the Bottom,Nothing Was The Same,Drake,5DI9jxTHrEiFAhStG7VA8E,2013-01-01,67,174133,0.793,0.0319,0.524,0.0,0.156,0.579,-7.827,0.156,86.325,8,4
Energetic,Portland,More Life,Drake,2bjwRfXMk4uRgOD9IBYl9h,2017-03-18,73,236614,0.925,0.0172,0.443,0.0,0.276,0.35,-8.216,0.264,136.078,1,4
Energetic,Energy,If You're Reading This It's Too Late,Drake,79XrkTOfV1AqySNjVlygpW,2015-02-12,73,181933,0.747,0.38,0.571,0.0,0.534,0.553,-7.916,0.478,172.104,11,4
Energetic,Ruff Rydas - From Road To Fast 9 Mixtape,Ruff Rydas (From Road To Fast 9 Mixtape),NLE Choppa,5uFtpU4N0h1YhYw8n5TGI5,2020-07-23,38,169353,0.683,0.502,0.741,4.94e-06,0.233,0.585,-5.283,0.0504,150.998,11,4
Energetic,Otherside Of America,Otherside Of America,Meek Mill,3JBvJ9PwrYA1oeUzI3FMRI,2020-06-05,54,218103,0.73,0.0878,0.772,0.0,0.401,0.403,-3.883,0.316,147.053,5,4
Energetic,All Mine,ye,Kanye West,3U21A07gAloCc4P7J8rxcn,2018-06-01,75,145506,0.925,0.123,0.31,0.0,0.0931,0.291,-6.531,0.291,121.927,11,4
Energetic,CLOUT COBAIN | CLOUT CO13A1N,TA13OO,Denzel Curry,2LNMhZ3YijTO7USmqjgJfG,2018-07-27,66,231333,0.794,0.591,0.448,0.0,0.109,0.588,-4.771,0.0539,120.055,10,4
